id,sold,image,price,title,views,code,common,anim_de,anim_en,created,desc_de,desc_en,updated,category,title_en,big_image,subcategory,views_12_15
28,no,0943-ID-Kinder-auf-Bali.jpg,0.00,Kinder erschrocken,89,0943ID,yes,<blank>,<blank>,2015-12-12,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Anxious kids,0943 ID Kinder auf Bali.jpg,Grüne Kiwis,26
29,no,0934IDTopengtanzer.jpg,0.00,Topengtänzer,82,0934ID,yes,<blank>,<blank>,2015-11-20,<blank>,<blank>,2016-06-26 08:26:34,Kiwi,Topengtänzer,0934 ID Topengtaenzer.jpg,Grüne Kiwis,23
30,no,0935IDReisfelder.jpg,0.00,Reisfelder,58,0935ID,yes,<blank>,<blank>,2015-11-20,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Ricefield,0935 ID Reisfelder .jpg,Grüne Kiwis,25
31,no,0936IDBauerin.jpg,0.00,Bäuerin,122,0936ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 07:13:22,Kiwi,Working in the ricefield,0936 ID Baeuerin .jpg,Grüne Kiwis,67
32,no,0938IDWascheni.Fluss.jpg,0.00,Wascheni.Fluss,81,0938ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Wascheni.Fluss,0938 ID Waschen i.Fluss.jpg,Grüne Kiwis,22
33,no,0940IDThanaLot.jpg,0.00,TanahLot,68,0940ID,yes,<blank>,<blank>,2015-12-30,<blank>,<blank>,2016-06-26 06:29:53,Kiwi,Tanah Lot,0940 ID Tanah Lot .jpg,Grüne Kiwis,23
34,no,0941IDCocaCola.jpg,0.00,CocaCola,126,0941ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:34:30,Kiwi,Coca Cola Boy,0941 ID Coca Cola .jpg,Grüne Kiwis,63
35,no,0942Wasche.jpg,0.00,Wäsche,70,0942,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Wäsche,0942 ID Waesche waschen .jpg,Grüne Kiwis,21
36,no,0945IDMarkt.jpg,0.00,Markt,66,0945ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:58:54,Kiwi,market,0945 ID Markt .jpg,Grüne Kiwis,24
37,no,0947IDPriester.jpg,0.00,Priester,86,0947ID,yes,<blank>,<blank>,2015-12-12,<blank>,<blank>,2016-06-26 08:42:59,Kiwi,Priest,0947 ID Priester .jpg,Grüne Kiwis,22
38,no,0949IDFrauen.jpg,0.00,Frauen,103,0949ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:12:46,Kiwi,During a ceremony,0949 ID Frauen.jpg,Grüne Kiwis,64
39,no,0954IDPortrait.jpg,0.00,Portrait,81,0954ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:34:40,Kiwi,Portrait,0954 ID Portrait .jpg,Grüne Kiwis,24
40,no,0955IDLacheln.jpg,0.00,Lächeln,66,0955ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Sweet laugh,0955 ID Maedchen .jpg,Grüne Kiwis,22
41,no,0956IDUrlauberin.jpg,0.00,Urlauberin,101,0956ID,yes,<blank>,<blank>,2015-12-13,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,French tourist,0956 ID Franzoesin.jpg,Grüne Kiwis,24
42,no,0958IDFamilie.jpg,0.00,Familie,149,0958ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Balinese family,0958 ID Familie.jpg,Grüne Kiwis,87
43,no,0960IDHahnenkampf.jpg,0.00,Hahnenkampf,88,0960ID,yes,<blank>,<blank>,2015-12-27,<blank>,<blank>,2016-06-26 07:40:58,Kiwi,Cockfighting 2,0960 ID Hahnenkampf 2 .jpg,Grüne Kiwis,22
44,no,0962IDMassagefrau.jpg,0.00,Massagefrau,64,0962ID,yes,<blank>,<blank>,2015-12-13,<blank>,<blank>,2016-06-26 07:35:39,Kiwi,Massage woman,0962 ID Massagefrau.jpg,Grüne Kiwis,23
45,no,0964IDTempel.jpg,0.00,Tempel,67,0964ID,yes,<blank>,<blank>,2015-12-07,<blank>,<blank>,2016-06-26 06:46:51,Kiwi,Tempel,0964 ID Tempel .jpg,Grüne Kiwis,22
46,no,0965IDKetuti.Tempel.jpg,0.00,Ketut i.Tempel,121,0965ID,yes,<blank>,<blank>,2015-12-07,<blank>,<blank>,2016-06-26 07:51:33,Kiwi,Charming Ketut,0965 ID Ketut i.Tempel .jpg,Grüne Kiwis,32
47,no,0966IDTanzer.jpg,0.00,Tänzer,88,0966ID,yes,<blank>,<blank>,2015-12-07,<blank>,<blank>,2016-06-26 08:03:45,Kiwi,Tänzer,0966 ID Taenzer .jpg,Grüne Kiwis,26
48,no,0968IDMt.Batur.jpg,0.00,Mt.Batur,75,0968ID,yes,<blank>,<blank>,2015-12-07,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,Mt.Batur,0968 ID Mt.Batur .jpg,Grüne Kiwis,23
49,no,0969IDFischer.jpg,0.00,Fischer,97,0969ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 08:13:49,Kiwi,Fisher men,0969 ID Fischer ID969.jpg,Grüne Kiwis,75
50,no,0971IDPalmenhain.jpg,0.00,Palmenhain,113,0971ID,yes,<blank>,<blank>,2015-12-31,<blank>,<blank>,2016-06-26 06:16:57,Kiwi,Palmenhain,0971 ID Palmenhain.jpg,Grüne Kiwis,27
51,no,0973IDToterHahn.jpg,0.00,ToterHahn,84,0973ID,yes,<blank>,<blank>,2015-12-07,<blank>,<blank>,2016-06-26 06:01:47,Kiwi,ToterHahn,0973 ID Toter Hahn .jpg,Grüne Kiwis,24
52,no,0974IDZeremonieSerangan.jpg,0.00,ZeremonieSerangan,127,0974ID,yes,<blank>,<blank>,2015-12-07,<blank>,<blank>,2016-06-26 08:55:43,Kiwi,Ceremony Serangan,0974 ID Zeremonie Serangan.jpg,Grüne Kiwis,26
1312,yes,Delph170196229302118422.jpg,0.00,Delph,823,170196229302118422,yes,<blank>,<blank>,2015-12-31,"Die grosse Delphinschule aus einer alten Teakplanke eines indonesischen Fischerbootes ,das in Kuta gestrandet war.Aussen noch die orginale blaue Bemalung und von innen die rotorange.Das Boot war seinerzeit noch mit Holznägeln zusammengebaut. Grösse ca.62x29x3 cm. Dieses Objekt ist verkauft, wenn möglich wird es irgendwann etwas ähnliches geben.","The great Dolphin school in an old teak plank of an Indonesian fishing boat that was stranded in Kuta. Even outside the original blue livery and inside the red-orange. The boat was assembled at the time with wooden nails. Size ca. 62 x 29 x 3 cm. This object is sold, if possible there will be something similar at some point.",2016-06-26 09:23:57,Holz,Delph,Delph170196229302118422.jpg,Puzzle,749
54,yes,Budda_in_Chikanuss_50084051305101-2175_copy.jpg,0.00,Buddha Chikanuss,0,50084051305,no,<blank>,<blank>,2015-11-22,Der Buddha Kopf stammt aus der Nuss. ,This buddhas face is carved from the original nut from this cone.,2020-12-24 14:58:46,Holz,Buddha Chikanuss,<blank>,Boxen,479
55,yes,Elefantenobjekt_50027121208022-3269.jpg,0.00,Elefant,2,500271212080223269,no,<blank>,<blank>,2015-11-28,<blank>,<blank>,2020-12-24 18:14:41,Holz,Elephant,<blank>,Boxen,0
56,no,Elefantbox_50027061562204-2881.jpg,0.00,Elefantenbox - Krokodil Holz & Grenadil Holz,757,500270615622042881,yes,<blank>,<blank>,2015-12-31,Diese putzige Säule mit 3 kleinen Schubladen ist aus Krokodil Holz entstanden. \r\nDer Elefant ist aus Grenadil. 3 Mäuse wollen dem Elefanten Angst machen....,This fancy woodblock with 3 small drawers was made from crocodile wood. \r\nThe elephant and the mices are from Grenadil wood. The 3 mice only want to scare the elephant... ,2022-08-19 12:37:04,Holz,Elephantbox - Crocodile Wood & Grenadil Wood,500270615622042881.jpg,Einzeltiere,731
57,yes,Elefantenschatulle_50027141204022-3570.jpg,0.00,Elefanten,0,500271412040223570,no,<blank>,<blank>,2015-11-28,<blank>,<blank>,2020-12-24 22:45:50,Holz,Elephants - Elephantidae,<blank>,Boxen,0
58,yes,Elefantenobjekt.jpg,0.00,Elephants,0,Elefanten,no,<blank>,<blank>,2015-11-28,<blank>,<blank>,2016-06-15 10:11:22,Holz,<blank>,<blank>,Boxen,0
59,no,Eulen-Birkendose_50028082107111-3672.jpg,0.00,Eulendose,691,500280724707011781,yes,<blank>,<blank>,2015-12-31,"Eine Eule bewacht die kleine Schatztruhe aus Birke mit ihren 3 Schubladen,die nur über einen geheimen Verschluss geöffnet werden können. ca. 7x24x7cm","An owl guards these 3 little drawers. this casket ,made from birch wood owns a secret lock. You really have to know it,otherwise your wedding ring will be hidden for ever.size 7x24x7 cm",2020-12-24 15:19:57,Holz,owl box,Eulendose_50028072470701-1781.jpg,Boxen,722
60,yes,Fliegendose_50034140691101-1080.jpg,0.00,Fliege,54,500341406911011080,yes,<blank>,<blank>,2013-12-31,SOLD,Out of Stock,2020-12-28 21:58:32,Holz,Fliege,<blank>,Boxen,0
61,yes,Gekkoschatulle_50043251014171-2471.jpg,0.00,Gekko,757,500432510141712471,yes,<blank>,<blank>,2015-12-31,Gekkobox aus Eisenholz,Gekkobox iron wood,2020-12-24 15:01:10,Holz,Gekko,<blank>,Boxen,701
62,yes,Chica1675.jpg,0.00,Gepard,0,500410611061011675,no,<blank>,<blank>,2013-12-31,SOLD,Out of Stock,2020-12-24 15:01:35,Holz,Cheetah,<blank>,Boxen,0
63,yes,Schildkrtenschatulle_50119210812171-1772.jpg,0.00,Schildkröte,50,501192108121711772,yes,<blank>,<blank>,2013-12-31,SOLD,Out of Stock,2020-12-28 21:59:00,Holz,Schildkröte,<blank>,Boxen,0
64,yes,Schlangendose0554.jpg,0.00,Schlange,0,501180706710010554,no,<blank>,<blank>,2013-12-31,<b>SOLD</b>,<b>SOLD</b>,2020-12-24 15:02:40,Holz,Snake,<blank>,Boxen,0
65,no,Schlangendose_501181230070101-1469.jpg,0.00,Schlange,641,5011812300701011469,yes,<blank>,<blank>,2015-12-31,"Die Schlage bewacht den Verschluss des Objektes.Schatulle aus Pulaiholz,Schlange Akazie.Masse12x30x7cm",The snake is the guardian of the secrets hidden in the pulai box.Size:12x30x7cm ,2020-12-24 15:05:28,Holz,Schlange,Schlangendose.jpg,Boxen,685
66,no,Schlangendose.jpg,0.00,Schlangendose - Schatulle aus Pulaiholz,614,Schlangendose,yes,<blank>,<blank>,2015-12-31,"Die Schlage bewacht den Verschluss des Objektes.\r\nSchatulle aus Pulaiholz,Schlange und Akazie.\r\nDas geöffnete Objekt.\r\nMasse12x30x7cm",The opened snake box....,2020-12-24 18:12:39,Holz,Snake Box from Pulai wood,Schlangendose.jpg,Boxen,683
67,yes,Tetanischatulle_50000190691101-1281.jpg,0.00,Tetanischatulle,51,500001906911011281,yes,<blank>,<blank>,2013-12-31,SOLD,Out of Stock,2020-12-28 21:57:25,Holz,Tetani box,<blank>,Boxen,0
68,no,Tigertransport.jpg,0.00,Tiger,567,501290504091911170,yes,<blank>,<blank>,2015-12-31,Der gefangene Tiger in seiner Transportkiste aus Rubinienholz.Alle Teile dieses Objektes sind aus diesem Reststück Rubinie entstanden.Masse:5x4x9cm,"They caught the tiger and squeezed him in this narrow box from rubinie wood. Poor animal,sad story. size:5x4x9cm ",2020-12-24 15:09:01,Holz,Tiger,<blank>,Boxen,646
69,no,Toke-Fliegendose_50043052308112-1673.jpg,0.00,Toke,640,500430523081121673,yes,<blank>,<blank>,2015-12-31,"Der Tokay Gecko schleicht sich an eine Fliege heran,unter dem Tier verbirgt sich ein kleines Schubladengeheimnis.Nanka,Sono und Teak Holz.Masse:5x23x8cm",The yellow tokay gecko almost catched the black fly from sono wood.Box with five drawers.Teak and nanka wood.Size 5x23x8cm\r\n ,2020-12-24 15:09:56,Holz,Toke,<blank>,Boxen,654
70,no,Toke-Fliegen_Schatulle_50043052308112-1673.jpg,0.00,Tokay Schatulle,551,5004305,yes,<blank>,<blank>,2015-12-31,Die offene Tokay Schatulle,the opened tokay gecko box.,2020-12-24 15:09:31,Holz,Tokay Schatulle,<blank>,Boxen,640
72,no,Totemobjekt_geschlossen.jpg,0.00,Totemobjekt,579,500850415091132470,yes,<blank>,<blank>,2015-12-31,"Die Totem Box aus Teakholz lässt nur erahnen, was sich in ihr verbirgt.Ebenholz und Teak. Masse:4x15x9cm ",The totem box from teak wood keeps the secret of more animal faces.a light ebony wood feather locks it all up.size 4x15x9 cm,2020-12-25 17:10:43,Holz,Totemobjekt,Totem_50085041509113-2470.jpg,Boxen,380
73,no,Zebratransport_50151070712191-1571.jpg,0.00,Zebra,520,50151707121911571,yes,<blank>,<blank>,2015-12-31,Auf engstem Raum werden 2 Zebras in einer Box aus Rubinienholz transportiert.Masse:7x7x12cm,"There is not very much space left for the 2 zebras inside their cage during transportation.Rubinie,a wood with clear growth rings.size:7x7x12cm",2020-12-25 17:08:27,Holz,Zebra,Zebratransport.jpg,Boxen,280
75,yes,Aal990041405910013449.jpg,0.00,Blindschleiche,424,990041405910013449,no,<blank>,<blank>,2015-12-31,Eine Blindschleiche aus einem  sehr harten Rindenstück. ,A  harmless wooden snakel in a tree bark. ,2018-06-27 04:46:35,Holz,Snake,<blank>,Einzeltiere,1687
76,no,Adler_99001073071601-1315.jpg,0.00,Adler,0,990010730716011315,no,<blank>,<blank>,2015-12-31,Der Adler sitzt in seinem Horst.<br/>\r\nAdler und Stamm sind aus einem Stück Ketapan Holzstamm\r\n,Eagle in a piece of ketapan wood,2016-06-21 20:53:53,Holz,Adler,Adler990010730716011315.jpg,Einzeltiere,729
77,no,Adler.jpg,0.00,Adler,1534,990011034610013612,yes,<blank>,<blank>,2015-12-31,Dieser Adler sitzt in einem Halbrundholz Mahagoni. Auf der Rückseite ist das Holzstück ganz mit Rinde bedeckt. \r\nDer Adler ist aus dem Orginalholzstück dieser Asthälfte entstanden.Dieses Holzkunst Objekt ist sehr detailliert ausgearbeitet.Masse ca. 10x34x6cm,This eagle sits in a piece of mahogany wood. \r\nThe rear side of this woodart piece is covered with the bark of the tree. Size 10x34x6cm,2016-06-26 09:24:11,Holz,Eagle,Adler9900110346101013612.jpg,Einzeltiere,1744
78,no,Adler_99001143460101-2008.jpg,0.00,Adler,1574,990011434601012008,yes,<blank>,<blank>,2015-12-31,Der grimmige Adler in seinem Baum. Pulaiholz.,A big eagle sitting in his tree. Pulai wood.,2016-06-26 09:24:11,Holz,Eagle,Adler990011434601012008.jpg,Einzeltiere,1058
79,yes,Adler_99001202330101-3308.jpg,0.00,Adler,0,990012023301013308,no,<blank>,<blank>,2015-12-31,"Der Adler in seinem Lebensraum,hoch in den Bäumen. Pulaiholz. ","An eagle sitting high above in his tree,watching for prey... Pulai wood",2016-06-21 20:53:53,Holz,Eagle,<blank>,Einzeltiere,710
80,yes,Adler_99001202650101-3008.jpg,0.00,Adler,0,990012026501013008,no,<blank>,<blank>,2015-12-31,Pulaiholz mit Rinde.der Adler schaut sich in seiner Umgebung um.,The Eagle in its environment. ,2016-06-21 20:53:53,Holz,Eagle,<blank>,Einzeltiere,0
81,no,Br_99009131450101-2349.jpg,0.00,Bär,736,990091314501012349,yes,<blank>,<blank>,2015-12-31,Dieser Bär sitzt vor seiner Höhle. Beide aus Pulaiholz.,That bear was sitting in front of his cave. Both from Pulaiholz.,2022-08-18 13:54:20,Holz,Bear,<blank>,Einzeltiere,1055
82,yes,Baer_99009151120401-3408.jpg,350.00,Bär - Ebenholz,1604,990091511204013408,yes,<blank>,<blank>,2015-12-31,"Ein Braunbär aus Ebenholz. Wie man hier sehen kann, muss Ebenholz nicht immer tiefschwarz sein. Dieses Teil ist bereits verkauft, kann aber in ähnlicher Form nochmals geschnitzt werden.","This young brown bear, made from ebony wood is already sold. There is a chance I could carve it again, if you can't live without this one.... ",2016-06-26 08:01:11,Holz,Bear - Ebony Wood,Baer990091511204013408.jpg,Einzeltiere,1028
83,yes,Bar-990091518911013181.jpg,0.00,Bär,0,VK990091518911013181,no,<blank>,<blank>,2015-11-20,Ein Bär aus Pulaiholz sitzt in seiner Strandguthöhle.\r\nSOLD,A bear from Pulaiholz sits in his den of flotsam and Jetsam.\r\nSOLD,2016-06-15 10:11:22,Holz,Bear,<blank>,Einzeltiere,0
84,no,Br_99009172480101-2841.jpg,0.00,Bär,746,990091724801012841,yes,<blank>,<blank>,2015-12-31,"Im Stehen schärft es sich die Krallen besser,denkt dieser Braunbär aus Pulaiholz","Standing, it sharpens the claws himself better, thinks this brown bear from Pulaiholz",2020-12-11 11:34:38,Holz,Bear,<blank>,Einzeltiere,962
85,yes,Bar990092014504011948.jpg,0.00,Bär,0,990092014504011948,no,<blank>,<blank>,2013-12-31,"Ein schwarzbrauner Eisbär,ob er sich schwarzbraun geärgert hat weil seine Lebensräume wegschmelzen?",<blank>,2016-06-15 10:11:22,Holz,Bär,<blank>,Einzeltiere,205
86,yes,Bar990092018402013241.jpg,0.00,Bär,0,990092018402013241,no,<blank>,<blank>,2015-11-20,"Der Feuerbär.Es ist ein Teakholzstück,das ich aus einem Strandfeuer gerettet hatte.<br>So hat das Bärenfell nur geringen Schaden davongetragen. Es hätte alles viel schlimmer werden können.<br>\r\n<b>SOLD</b>","The Feuerbaer.Es is a piece of teak wood that I had saved from a beach fire.<br>So, the Bearskin has suffered only minor damage. It could have been anything much worse.<br>\r\n<b>SOLD</b>",2016-06-15 10:11:22,Holz,Bear,<blank>,Einzeltiere,0
88,yes,Bar990092216514011650.jpg,0.00,Bär,0,990092216514011650,no,<blank>,<blank>,2013-12-31,Der Eisbär im Akazienholz.,<blank>,2016-06-15 10:11:22,Holz,Bär,<blank>,Einzeltiere,670
89,no,Br_99009232150101-2306.jpg,0.00,Bär,0,990092321501012306,no,<blank>,<blank>,2015-11-21,"Was riecht denn hier so gut, fragt sich der stehende Braunbär Ob er wohl ein Bienenbau entdeckt hat?","What smells because here as well, the standing brown bear wonders whether he has probably discovered a bee construction?",2020-12-11 11:38:05,Holz,Bear,<blank>,Einzeltiere,0
90,no,Br_99009241360101-1940.jpg,280.00,Bär - Pulai Holz,1460,990092413601011940,yes,<blank>,<blank>,2015-12-31,Ein Braunbär ruht sich aus.\r\nPulaiholz.,The Brown Bear relaxes.\r\nPulai wood.,2020-12-11 11:46:50,Holz,Bear - Pulai Wood,Baer990092413601011940.jpg,Einzeltiere,1358
91,yes,Bar990092512610011742.jpg,0.00,Bär,0,990092512610011742,no,<blank>,<blank>,2013-12-31,Der Bär trottet vor sich hin.Strandgut bräunliches Holz,<blank>,2016-06-15 10:11:22,Holz,Bär,<blank>,Einzeltiere,676
92,yes,Bar990092614510012326.jpg,0.00,Bär,0,990092614510012326,no,<blank>,<blank>,2013-12-31,Als ich diesen Bär geschnitzt habe ist die Jagd auf Bruno eröffnet worden.Ein unnötiger Tod.Sold,<blank>,2016-06-15 10:11:22,Holz,Bär,<blank>,Einzeltiere,0
93,yes,Bar990092729511013641.jpg,0.00,Bär,0,990092729511013641,no,<blank>,<blank>,2013-12-31,Der Braunbär in einer wilden Berglandschaft. Mischholz sold,<blank>,2016-06-15 10:11:22,Holz,Bär,<blank>,Einzeltiere,200
94,yes,Bar990092819601010550.jpg,0.00,Bär,0,990092819601010550,no,<blank>,<blank>,2015-11-21,Auch dieser Bär will unbedingt wissen was denn da so bärenstark riecht. Pulaiholz,Also this bear wants to know what smells because there as children. Pulaiholz,2020-10-21 13:09:38,Holz,Bear,<blank>,Einzeltiere,0
95,no,Br_99009301940101-1442.jpg,0.00,Bär,729,990093019401011442,yes,<blank>,<blank>,2015-12-31,Hier kann man es noch nicht sehen. Der Bär ruht sich inzwischen im Schatten eines Baumes aus. Pulaiholz.,"Relaxing in the shadow of a tree, which was not yet done when I met the bear. Pulai Wood",2020-12-11 11:40:56,Holz,Bär,<blank>,Einzeltiere,711
96,yes,Bar990093021601010626.jpg,0.00,Bär,0,990093021601010626,no,<blank>,<blank>,2015-11-21,Halb vor seiner Höhle lauscht der Bär den Geräuschen der Landschaft. Pulaiholz,Half before his cave bear listening to the sounds of the countryside. Pulaiholz,2017-09-24 13:31:13,Holz,Bear,<blank>,Einzeltiere,0
97,yes,Bar990093027611013045.jpg,0.00,Bär,665,990093027611013045,yes,<blank>,<blank>,2015-12-31,Noch ein Braunbär vor einer Bergkulisse.Mischholz,"Still, a brown bear from a Bergkulisse.Mischholz",2017-09-24 13:45:31,Holz,Bear,<blank>,Einzeltiere,910
98,yes,Bar990093411501010244.jpg,0.00,Bär,0,990093411501010244,no,<blank>,<blank>,2013-12-31,Der Braunbär verlässt seine Pulaiholz Höhle.Sold,<blank>,2016-06-15 10:11:22,Holz,Bär,<blank>,Einzeltiere,391
99,yes,Bar990093427601011242.jpg,0.00,Bär,875,990093427601011242,yes,<blank>,<blank>,2015-12-31,Der Eisbär aus Pulaiholz  in seiner arktischen Landschaft.,A sad polar bear looking for food and new land ,2017-09-24 13:27:16,Holz,Bär,<blank>,Einzeltiere,676
100,no,Bar990093622601010048.jpg,0.00,Bär,0,990093622601010048,no,<blank>,<blank>,2015-11-21,Ein Eisbär auf Futtersuche.Pulaiholz Verschollen....Gestohlen????,A polar bear on Futtersuche.Pulaiholz stolen,2018-06-27 04:49:36,Holz,Bear,<blank>,Einzeltiere,0
101,no,Br_99009362370101-1126.jpg,0.00,Bär,619,990093623701011126,yes,<blank>,<blank>,2015-12-31,Müde ruht sich der Bär unter einem Felsvorsprung aus. Pulaiholz.,The bear rests tiredly under a ledge. Pulai wood.,2020-12-11 11:42:52,Holz,Bär,<blank>,Einzeltiere,654
102,yes,S990092627601010829.jpg,0.00,Bär,427,S990092627601010829,no,<blank>,<blank>,2015-12-31,"Der schmale Ast kann nur bedingt Schatten für den Bären spenden.Pulaiholz. Dies ist die Sommerseite.Auf der Rückseite,mit etwas Blaueinfärbung durch einen Fettstift im Sägewerk,sitzt der Bär in winterlicher Kälte."," No, there is no shadow. This bear is just too big for this small branch. The rear side shows the same bear in  winter season....",2017-09-24 13:58:50,Holz,Bear,990092627601010829.jpg,Einzeltiere,793
